comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
ভাই আপনর মুখ চেহারা এতো শুকাইছে ক্যান  ,"['ভাই', 'আপনর', 'মুখ', 'চেহারা', 'এতো', 'শুকাইছে', 'ক্যান']","['আপনর', 'মুখ', 'চেহারা', 'শুকাইছে', 'ক্যান']","['ভাই', 'এতো']","['Brother', 'Your own', 'Face', 'Appearance', 'So', 'Dry', 'Can']","['Your own', 'Face', 'Appearance', 'Dry', 'Can']","['Brother', 'So']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'MD']","['JJ', 'NNP', 'NNP', 'NNP', 'MD']","['NNP', 'NNP']"
বছরের সেরা বিনোদন,"['বছরের', 'সেরা', 'বিনোদন']","['বছরের', 'সেরা', 'বিনোদন']",[],"['Year', 'Best', 'Recreation']","['Year', 'Best', 'Recreation']",[],"['NN', 'JJS', 'NN']","['NN', 'JJS', 'NN']",[]
সিগারেটের ছাই,"['সিগারেটের', 'ছাই']","['সিগারেটের', 'ছাই']",[],"['Cigarette', 'Ash']","['Cigarette', 'Ash']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
দুপুরেই দেখে ফেলেছি ,"['দুপুরেই', 'দেখে', 'ফেলেছি']","['দুপুরেই', 'দেখে', 'ফেলেছি']",[],"['At noon', 'Seeing', 'Left']","['At noon', 'Seeing', 'Left']",[],"['RB', 'VBG', 'NNP']","['RB', 'VBG', 'NNP']",[]
প্রেম হল কি করে আপনাদের ,"['প্রেম', 'হল', 'কি', 'করে', 'আপনাদের']","['প্রেম', 'হল', 'কি', 'করে']",['আপনাদের'],"['Love', 'Hall', 'What', 'By', 'Yours']","['Love', 'Hall', 'What', 'By']",['Yours'],"['NNP', 'NNP', 'WP', 'IN', 'NNS']","['NNP', 'NNP', 'WP', 'IN']",['NNS']
মাশাল্লাহআল্লাহ তায়ালা আপনার জীবনকে বরকতময় করুক৷,"['মাশাল্লাহআল্লাহ', 'তায়ালা', 'আপনার', 'জীবনকে', 'বরকতময়', 'করুক৷']","['মাশাল্লাহআল্লাহ', 'তায়ালা', 'আপনার', 'জীবনকে', 'বরকতময়', 'করুক৷']",[],"['Mashallah Allah', 'Wallet', 'Yours', 'Life', 'Sore', 'Do it']","['Mashallah Allah', 'Wallet', 'Yours', 'Life', 'Sore', 'Do 1']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
বাহ অসাধারন ,"['বাহ', 'অসাধারন']",['অসাধারন'],['বাহ'],"['Wow', 'Awesome']",['Awesome'],['Wow'],"['NNP', 'NNP']",['NNP'],['NN']
নাইস ভিডিও।,"['নাইস', 'ভিডিও']","['নাইস', 'ভিডিও']",[],"['Fair', 'Video']","['Fair', 'Video']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আল্লাহ সবাইকে হেফাজত করুন,"['আল্লাহ', 'সবাইকে', 'হেফাজত', 'করুন']","['আল্লাহ', 'সবাইকে', 'হেফাজত', 'করুন']",[],"['Allah', 'All', 'Custody', 'Do']","['Allah', 'All', 'Custody', 'Do']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
সাব্বাসমনের কথা বলেছো।,"['সাব্বাসমনের', 'কথা', 'বলেছো']","['সাব্বাসমনের', 'কথা', 'বলেছো']",[],"['Ecstatic', 'Talk', 'Have said']","['Ecstatic', 'Talk', 'Have said']",[],"['JJ', 'NN', 'NNP']","['JJ', 'NN', 'NNP']",[]
আল্লাহ হেদায়েত দেক,"['আল্লাহ', 'হেদায়েত', 'দেক']","['আল্লাহ', 'হেদায়েত', 'দেক']",[],"['Allah', 'Guidance', 'Deck']","['Allah', 'Guidance', 'Deck']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
হলুদিয়া পাখি,"['হলুদিয়া', 'পাখি']","['হলুদিয়া', 'পাখি']",[],"['Yellow', 'Bird']","['Yellow', 'Bird']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
ধন্যবাদ মাশরাফি,"['ধন্যবাদ', 'মাশরাফি']","['ধন্যবাদ', 'মাশরাফি']",[],"['Thank you', 'Mashrafe']","['Thank you', 'Mashrafe']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আজ রাতে ভালো ঘুম হবে,"['আজ', 'রাতে', 'ভালো', 'ঘুম', 'হবে']","['রাতে', 'ভালো', 'ঘুম', 'হবে']",['আজ'],"['Today', 'Night', 'Good', 'Sleep', 'Will']","['Night', 'Good', 'Sleep', 'Will']",['Today'],"['NN', 'NNP', 'NNP', 'NNP', 'MD']","['RB', 'JJ', 'NNP', 'MD']",['NN']
বাঁকা সৌন্দর্য ,"['বাঁকা', 'সৌন্দর্য']","['বাঁকা', 'সৌন্দর্য']",[],"['Curved', 'Beauty']","['Curved', 'Beauty']",[],"['VBN', 'NN']","['VBN', 'NN']",[]
সুন্দর ন লাগের,"['সুন্দর', 'ন', 'লাগের']","['সুন্দর', 'ন', 'লাগের']",[],"['Beautiful', 'No', 'Lodging']","['Beautiful', 'No', 'Lodging']",[],"['JJ', 'DT', 'VBG']","['JJ', 'DT', 'VBG']",[]
অনেক ভাল লাগলো ,"['অনেক', 'ভাল', 'লাগলো']","['ভাল', 'লাগলো']",['অনেক'],"['Many', 'Good', 'Looked']","['Good', 'Looked']",['Many'],"['JJ', 'NNP', 'VBD']","['JJ', 'VBD']",['JJ']
নামাজ পর কাজে আসবে,"['নামাজ', 'পর', 'কাজে', 'আসবে']","['নামাজ', 'পর', 'কাজে', 'আসবে']",[],"['Prayers', 'After', 'At work', 'Come']","['Prayers', 'After', 'At work', 'Come']",[],"['NNS', 'IN', 'NNP', 'NNP']","['NNS', 'IN', 'NNP', 'NNP']",[]
আলহামদুলিল্লাহ। অপেক্ষায় থাকবো ইনশাআল্লাহ। দেখা হবে।,"['আলহামদুলিল্লাহ', 'অপেক্ষায়', 'থাকবো', 'ইনশাআল্লাহ', 'দেখা', 'হবে']","['আলহামদুলিল্লাহ', 'অপেক্ষায়', 'থাকবো', 'ইনশাআল্লাহ', 'দেখা', 'হবে']",[],"['Alhamdulillah', 'Waiting', 'Stay', 'Insha Allah', 'See', 'Will']","['Alhamdulillah', 'Waiting', 'Stay', 'Insha Allah', 'See', 'Will']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'MD']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'MD']",[]
মামা এখনো কমেন্ট করেনি,"['মামা', 'এখনো', 'কমেন্ট', 'করেনি']","['মামা', 'এখনো', 'করেনি']",['কমেন্ট'],"['Uncle', 'Yet', 'Comment', 'Did']","['Uncle', 'Yet', 'Did']",['Comment'],"['NN', 'CC', 'NN', 'NN']","['NN', 'RB', 'NNP']",['NN']
রাইট বলেছেন হিরো ভাই।,"['রাইট', 'বলেছেন', 'হিরো', 'ভাই']","['রাইট', 'বলেছেন', 'হিরো', 'ভাই']",[],"['Right', 'Says', 'Hero', 'Brother']","['Right', 'Says', 'Hero', 'Brother']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
মাশাল্লাহ সব সময় এভাবে থাকলে ভালো হবে।,"['মাশাল্লাহ', 'সব', 'সময়', 'এভাবে', 'থাকলে', 'ভালো', 'হবে']","['মাশাল্লাহ', 'সব', 'সময়', 'এভাবে', 'থাকলে', 'ভালো', 'হবে']",[],"['Mashal', 'All', 'Time', 'Thus', 'If', 'Good', 'Will']","['Mashal', 'All', 'Time', 'Thus', 'If', 'Good', 'Will']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']",[]
এ্যাকশান ঠিক আছে বাট অভিনয়ে প্রবলেম রয়েছে।,"['এ্যাকশান', 'ঠিক', 'আছে', 'বাট', 'অভিনয়ে', 'প্রবলেম', 'রয়েছে']","['এ্যাকশান', 'ঠিক', 'আছে', 'বাট', 'অভিনয়ে', 'প্রবলেম', 'রয়েছে']",[],"['Action', 'Right', 'There is', 'Beetle', 'Acting', 'Problem', 'Remain']","['Action', 'Right', 'There is', 'Beetle', 'Acting', 'Problem', 'Remain']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
মিনাল ভাই কেমন আছেন,"['মিনাল', 'ভাই', 'কেমন', 'আছেন']","['মিনাল', 'কেমন', 'আছেন']",['ভাই'],"['Minal', 'Brother', 'How', 'There is']","['Minal', 'How', 'There is']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NN']
রুবেল ভাই কেমন আছেন,"['রুবেল', 'ভাই', 'কেমন', 'আছেন']","['রুবেল', 'কেমন', 'আছেন']",['ভাই'],"['Ruble', 'Brother', 'How', 'There is']","['Ruble', 'How', 'There is']",['Brother'],"['JJ', 'NNP', 'NNP', 'NNP']","['JJ', 'WRB', 'NN']",['NN']
সুন্দর নাটক,"['সুন্দর', 'নাটক']",['নাটক'],['সুন্দর'],"['Beautiful', 'Play']",['Play'],['Beautiful'],"['JJ', 'NN']",['VB'],['JJ']
আসাধারন লেগেছে ,"['আসাধারন', 'লেগেছে']","['আসাধারন', 'লেগেছে']",[],"['Stupid', 'Like']","['Stupid', 'Like']",[],"['NNP', 'IN']","['NNP', 'IN']",[]
ওয়াও কুল নাইছ পোষ্ট থানক্স ফর শেয়ারিং,"['ওয়াও', 'কুল', 'নাইছ', 'পোষ্ট', 'থানক্স', 'ফর', 'শেয়ারিং']","['ওয়াও', 'কুল', 'নাইছ', 'পোষ্ট', 'থানক্স', 'ফর', 'শেয়ারিং']",[],"['Wow', 'Cool', 'Not', 'Post', 'Thanx', 'For', 'Sharing']","['Wow', 'Cool', 'Not', 'Post', 'Thanx', 'For', 'Sharing']",[],"['NNP', 'NNP', 'RB', 'NNP', 'NNP', 'IN', 'VBG']","['NNP', 'NNP', 'RB', 'NNP', 'NNP', 'IN', 'VBG']",[]
বাহ!!  বিগ কালেকশন ,"['বাহ', 'বিগ', 'কালেকশন']","['বাহ', 'বিগ', 'কালেকশন']",[],"['Wow', 'Big', 'Collection']","['Wow', 'Big', 'Collection']",[],"['NNP', 'NNP', 'NN']","['NNP', 'NNP', 'NN']",[]
আল্লাহ তোমাকে হেদায়েত করুক,"['আল্লাহ', 'তোমাকে', 'হেদায়েত', 'করুক']","['আল্লাহ', 'তোমাকে', 'হেদায়েত', 'করুক']",[],"['Allah', 'You', 'Guidance', 'Do']","['Allah', 'You', 'Guidance', 'Do']",[],"['NNP', 'PRP', 'NNP', 'VBP']","['NNP', 'PRP', 'NNP', 'VBP']",[]
হিরো তো হিরো আলম এই,"['হিরো', 'তো', 'হিরো', 'আলম', 'এই']","['হিরো', 'তো', 'হিরো', 'আলম']",['এই'],"['Hero', 'There', 'Hero', 'Elasticity', 'This']","['Hero', 'There', 'Hero', 'Elasticity']",['This'],"['NNP', 'EX', 'NNP', 'NNP', 'DT']","['NNP', 'EX', 'NNP', 'NNP']",['DT']
কথা গুলো ঠিক বলছে,"['কথা', 'গুলো', 'ঠিক', 'বলছে']","['কথা', 'গুলো', 'ঠিক']",['বলছে'],"['Talk', 'Gourmet', 'Right', 'Say']","['Talk', 'Gourmet', 'Right']",['Say'],"['NN', 'NNP', 'NNP', 'NNP']","['NN', 'NNP', 'NNP']",['NN']
আসসালামু আলাইকুম ওয়ারহমাতুল্লাহ,"['আসসালামু', 'আলাইকুম', 'ওয়ারহমাতুল্লাহ']","['আসসালামু', 'আলাইকুম', 'ওয়ারহমাতুল্লাহ']",[],"['Assalamu', 'Alaikum', 'Warhmatullah']","['Assalamu', 'Alaikum', 'Warhmatullah']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
ইসলামী ব্যাংক এর 17   নাম্বার টা দিন,"['ইসলামী', 'ব্যাংক', 'এর', 'নাম্বার', 'টা', 'দিন']","['ইসলামী', 'ব্যাংক', 'এর', 'নাম্বার', 'টা']",['দিন'],"['Islamic', 'Bank', 'Of', 'Number', 'T', 'Day']","['Islamic', 'Bank', 'Of', 'Number', 'T']",['Day'],"['NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'IN', 'NNP', 'NNP']",['NNP']
তার জিবনের শ্রেষ্ঠ ছবি এটা,"['তার', 'জিবনের', 'শ্রেষ্ঠ', 'ছবি', 'এটা']","['তার', 'জিবনের', 'শ্রেষ্ঠ', 'ছবি']",['এটা'],"['Herself', 'Life', 'Best', 'Picture', 'It']","['Herself', 'Life', 'Best', 'Picture']",['It'],"['PRP', 'NNP', 'NNP', 'NN', 'PRP']","['PRP', 'NNP', 'NNP', 'NN']",['PRP']
কমেন্ট গুলা এত্তো জোশ কেন,"['কমেন্ট', 'গুলা', 'এত্তো', 'জোশ', 'কেন']","['কমেন্ট', 'গুলা', 'এত্তো', 'জোশ']",['কেন'],"['Comment', 'Ferry', 'So', 'Josh', 'Why']","['Comment', 'Ferry', 'So', 'Josh']",['Why'],"['NN', 'NNP', 'NNP', 'NNP', 'WRB']","['NN', 'NNP', 'NNP', 'NNP']",['WRB']
সাদামাঠা ,['সাদামাঠা'],['সাদামাঠা'],[],['Plain'],['Plain'],[],['NN'],['NN'],[]
তুমিই আসল হিরো ৭৫!!!,"['তুমিই', 'আসল', 'হিরো', '৭৫']","['তুমিই', 'আসল', 'হিরো', '৭৫']",[],"['You', 'True', 'Hero', '1']","['You', 'True', 'Hero', '1']",[],"['PRP', 'VBP', '$', 'CD']","['PRP', 'VBP', '$', 'CD']",[]
হেড়া,['হেড়া'],['হেড়া'],[],['Hera'],['Hera'],[],['NN'],['NN'],[]
ফিদা,['ফিদা'],['ফিদা'],[],['Fida'],['Fida'],[],['NN'],['NN'],[]
শুভ নববর্ষ,"['শুভ', 'নববর্ষ']","['শুভ', 'নববর্ষ']",[],"['Auspicious', 'New Year']","['Auspicious', 'New Year']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
দিছেন ভালো কাউকে বোঝানোর দরকার কি ,"['দিছেন', 'ভালো', 'কাউকে', 'বোঝানোর', 'দরকার', 'কি']","['দিছেন', 'কাউকে', 'বোঝানোর', 'দরকার', 'কি']",['ভালো'],"['Give', 'Good', 'Some', 'Reinstatement', 'Need', 'What']","['Give', 'Some', 'Reinstatement', 'Need', 'What']",['Good'],"['VB', 'JJ', 'DT', 'NNP', 'NNP', 'WP']","['VB', 'DT', 'NNP', 'NNP', 'WP']",['JJ']
ভালোবাসা রইল বইন,"['ভালোবাসা', 'রইল', 'বইন']","['ভালোবাসা', 'রইল', 'বইন']",[],"['Love', 'Royal', 'Beef']","['Love', 'Royal', 'Beef']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
সুবানআল্লাহ,['সুবানআল্লাহ'],['সুবানআল্লাহ'],[],['Subban Allah'],['Subban Allah'],[],['NN'],['NN'],[]
অনন্ত জলিল--ভাইয়ের তুলনা হয় নাজয় ভাই,"['অনন্ত', 'জলিল', 'ভাইয়ের', 'তুলনা', 'হয়', 'নাজয়', 'ভাই']","['অনন্ত', 'জলিল', 'ভাইয়ের', 'তুলনা', 'হয়', 'নাজয়']",['ভাই'],"['Eternal', 'Jalil', 'Brother', 'Comparison', 'Is', 'Naughty', 'Brother']","['Eternal', 'Jalil', 'Brother', 'Comparison', 'Is', 'Naughty']",['Brother'],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['NN']
মানুষ বাঁচলে দেশ বাঁচবে!,"['মানুষ', 'বাঁচলে', 'দেশ', 'বাঁচবে']","['মানুষ', 'বাঁচলে', 'দেশ', 'বাঁচবে']",[],"['Man', 'Alive', 'Country', 'Live']","['Man', 'Alive', 'Country', 'Live']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
জানালা সেই কবে থেকেই খোলা তোমার ,"['জানালা', 'সেই', 'কবে', 'থেকেই', 'খোলা', 'তোমার']","['জানালা', 'কবে', 'থেকেই', 'খোলা', 'তোমার']",['সেই'],"['Window', 'That', 'When', 'In', 'Open', 'Your']","['Window', 'When', 'In', 'Open', 'Your']",['That'],"['NNP', 'DT', 'WRB', 'IN', 'NNP', 'PRP$']","['NN', 'WRB', 'IN', 'NNP', 'PRP$']",['DT']
দান করে প্রকাশ করতে হয়না ভাই।,"['দান', 'করে', 'প্রকাশ', 'করতে', 'হয়না', 'ভাই']","['দান', 'করে', 'প্রকাশ', 'করতে', 'হয়না', 'ভাই']",[],"['Donation', 'By', 'Reveal', 'To do', 'Is not', 'Brother']","['Donation', 'By', 'Reveal', 'To do', 'Is not', 'Brother']",[],"['NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']","['NN', 'IN', 'NNP', 'NNP', 'NNP', 'NNP']",[]
কমেন্ট পড়তে আসছিলাম,"['কমেন্ট', 'পড়তে', 'আসছিলাম']","['পড়তে', 'আসছিলাম']",['কমেন্ট'],"['Comment', 'Read', 'Coming']","['Read', 'Coming']",['Comment'],"['NN', 'NNP', 'NNP']","['NNP', 'VBG']",['NN']
ডান,['ডান'],['ডান'],[],['Right'],['Right'],[],['RB'],['RB'],[]
ভাবিকে অসাধারণ লাগছে মাশাআল্লাহ,"['ভাবিকে', 'অসাধারণ', 'লাগছে', 'মাশাআল্লাহ']","['ভাবিকে', 'অসাধারণ', 'লাগছে']",['মাশাআল্লাহ'],"['Image', 'Extraordinary', 'Look', 'Masha Allah']","['Image', 'Extraordinary', 'Look']",['Masha Allah'],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",['NN']
মাশাআল্লাহ ভাল থাকবেন,"['মাশাআল্লাহ', 'ভাল', 'থাকবেন']","['মাশাআল্লাহ', 'ভাল', 'থাকবেন']",[],"['Masha Allah', 'Good', 'Stay']","['Masha Allah', 'Good', 'Stay']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
সাময়িক ধোঁকাবাজি,"['সাময়িক', 'ধোঁকাবাজি']","['সাময়িক', 'ধোঁকাবাজি']",[],"['Temporary', 'Deceitful']","['Temporary', 'Deceitful']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
হুজুর আমি আপনার সাথে এক মত।,"['হুজুর', 'আমি', 'আপনার', 'সাথে', 'এক', 'মত']","['হুজুর', 'আপনার', 'সাথে', 'এক', 'মত']",['আমি'],"['Guru', 'I', 'Yours', 'With', 'One', 'Opinion']","['Guru', 'Yours', 'With', 'One', 'Opinion']",['I'],"['NNP', 'PRP', 'VBP', 'IN', 'CD', 'NN']","['NNP', 'NNP', 'IN', 'CD', 'NN']",['PRP']
আস্সালামু আলাইকুম,"['আস্সালামু', 'আলাইকুম']","['আস্সালামু', 'আলাইকুম']",[],"['Assalamu', 'Alaikum']","['Assalamu', 'Alaikum']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
মেকাপ ছাড়া আমার তুমিও এর চেয়ে সুন্দরী,"['মেকাপ', 'ছাড়া', 'আমার', 'তুমিও', 'এর', 'চেয়ে', 'সুন্দরী']","['মেকাপ', 'ছাড়া', 'আমার', 'তুমিও', 'এর', 'চেয়ে', 'সুন্দরী']",[],"['Makeup', 'Except', 'Me', 'You too', 'Of', 'Than', 'Beautiful']","['Makeup', 'Except', 'Me', 'You too', 'Of', 'Than', 'Beautiful']",[],"['NNP', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']","['NNP', 'IN', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']",[]
আপনি নিজের যত্ন নিয়েন জনাব,"['আপনি', 'নিজের', 'যত্ন', 'নিয়েন', 'জনাব']","['নিজের', 'যত্ন', 'নিয়েন']","['আপনি', 'জনাব']","['You', 'Own', 'Care', 'Niece', 'Man']","['Own', 'Care', 'Niece']","['You', 'Man']","['PRP', 'VBP', 'NNP', 'NNP', 'NN']","['NNP', 'NNP', 'NNP']","['PRP', 'VBP']"
শুধু কি হুয়াওয়ে ফোন জীবানুমুক্ত করতে হবে,"['শুধু', 'কি', 'হুয়াওয়ে', 'ফোন', 'জীবানুমুক্ত', 'করতে', 'হবে']","['হুয়াওয়ে', 'ফোন', 'জীবানুমুক্ত', 'করতে']","['শুধু', 'কি', 'হবে']","['Only', 'What', 'Huawei', 'Phone', 'Masculine', 'To do', 'Will']","['Huawei', 'Phone', 'Masculine', 'To do']","['Only', 'What', 'Will']","['RB', 'WP', 'NNP', 'NNP', 'NNP', 'NNP', 'MD']","['NNP', 'NNP', 'NNP', 'NNP']","['RB', 'WP', 'NNP']"
আল্লাহ তাআলা আপনাকে মাপ করুক আমিন,"['আল্লাহ', 'তাআলা', 'আপনাকে', 'মাপ', 'করুক', 'আমিন']","['আল্লাহ', 'তাআলা', 'আপনাকে', 'মাপ', 'করুক', 'আমিন']",[],"['Allah', 'There', 'You', 'Measure', 'Do', 'Amin']","['Allah', 'There', 'You', 'Measure', 'Do', 'Amin']",[],"['NNP', 'EX', 'PRP', 'VBP', 'VB', 'NNP']","['NNP', 'EX', 'PRP', 'VBP', 'VB', 'NNP']",[]
আমি কমেন্ট পড়তে আসছি!,"['আমি', 'কমেন্ট', 'পড়তে', 'আসছি']","['পড়তে', 'আসছি']","['আমি', 'কমেন্ট']","['I', 'Comment', 'Read', 'Come']","['Read', 'Come']","['I', 'Comment']","['PRP', 'NNP', 'VBD', 'NNP']","['NNP', 'NNP']","['PRP', 'VBP']"
খুবই সুন্দর লাগছে।,"['খুবই', 'সুন্দর', 'লাগছে']","['সুন্দর', 'লাগছে']",['খুবই'],"['Very', 'Beautiful', 'Look']","['Beautiful', 'Look']",['Very'],"['RB', 'JJ', 'NN']","['JJ', 'NN']",['RB']
ঈদ মোবারক ভাই ও ভাবী ,"['ঈদ', 'মোবারক', 'ভাই', 'ও', 'ভাবী']","['ঈদ', 'মোবারক', 'ভাই', 'ও', 'ভাবী']",[],"['Eid', 'Mob', 'Brother', 'O', 'Future']","['Eid', 'Mob', 'Brother', 'O', 'Future']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
স্বাগতম-  ,['স্বাগতম'],['স্বাগতম'],[],['Welcome'],['Welcome'],[],['VB'],['VB'],[]
‌দোষীদের দ্রুত শা‌স্তির দাবী জানা‌চ্ছি,"['দোষীদের', 'দ্রুত', 'শাস্তুর', 'দাবী', 'জানাচ্ছি']","['দোষীদের', 'দ্রুত', 'শাস্তুর', 'দাবী', 'জানাচ্ছি']",[],"['Culprits', 'Quick', 'Punishment', 'Demand', 'Inform']","['Culprits', 'Quick', 'Punishment', 'Demand', 'Inform']",[],"['NNS', 'NNP', 'NNP', 'NNP', 'NNP']","['NNS', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ইণ শাহ্‌ আল্লাহ্,"['ইণ', 'শাহ্', 'আল্লাহ্']","['ইণ', 'শাহ্', 'আল্লাহ্']",[],"['Hind', 'Shah', 'God']","['Hind', 'Shah', 'God']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
আপা রোজা আছেন ,"['আপা', 'রোজা', 'আছেন']","['আপা', 'রোজা', 'আছেন']",[],"['Apa', 'Fasting', 'There is']","['Apa', 'Fasting', 'There is']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
আল্লাহ যেন তাকে হেদায়েত দান করেন। আমিন,"['আল্লাহ', 'যেন', 'তাকে', 'হেদায়েত', 'দান', 'করেন', 'আমিন']","['আল্লাহ', 'হেদায়েত', 'দান', 'করেন', 'আমিন']","['যেন', 'তাকে']","['Allah', 'Like', 'Her', 'Guidance', 'Donation', 'Do', 'Amin']","['Allah', 'Guidance', 'Donation', 'Do', 'Amin']","['Like', 'Her']","['NNP', 'IN', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['IN', 'PRP$']"
সাফে শুরুত পালটাইছে,"['সাফে', 'শুরুত', 'পালটাইছে']","['সাফে', 'শুরুত', 'পালটাইছে']",[],"['Safety', 'Start', 'In turn']","['Safety', 'Start', 'In turn']",[],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']",[]
ঈদ মুবারক,"['ঈদ', 'মুবারক']","['ঈদ', 'মুবারক']",[],"['Eid', 'Mubarak']","['Eid', 'Mubarak']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
এস এ হামিদ ভাই খুজে,"['এস', 'এ', 'হামিদ', 'ভাই', 'খুজে']","['এস', 'এ', 'হামিদ', 'ভাই', 'খুজে']",[],"['S', 'This', 'Hamid', 'Brother', 'Find']","['S', 'This', 'Hamid', 'Brother', 'Find']",[],"['NNP', 'DT', 'NNP', 'NNP', 'NNP']","['NNP', 'DT', 'NNP', 'NNP', 'NNP']",[]
বুলবুল আছে নাকি,"['বুলবুল', 'আছে', 'নাকি']","['বুলবুল', 'আছে', 'নাকি']",[],"['Bubble', 'There is', 'Or']","['Bubble', 'There is', 'Or']",[],"['JJ', 'NNP', 'CC']","['JJ', 'NNP', 'CC']",[]
ধন্যবাদ প্রিয় ভাই,"['ধন্যবাদ', 'প্রিয়', 'ভাই']","['ধন্যবাদ', 'ভাই']",['প্রিয়'],"['Thank you', 'Beloved', 'Brother']","['Thank you', 'Brother']",['Beloved'],"['NNP', 'NNP', 'NNP']","['NNP', 'NNP']",['VBN']
শুভকামনা দুইজন প্রিয় মানুষের জন্যে।,"['শুভকামনা', 'দুইজন', 'প্রিয়', 'মানুষের', 'জন্যে']","['শুভকামনা', 'দুইজন', 'মানুষের', 'জন্যে']",['প্রিয়'],"['Good luck', 'Two', 'Beloved', 'Man', 'For']","['Good luck', 'Two', 'Man', 'For']",['Beloved'],"['NNP', 'CD', 'NNP', 'NN', 'IN']","['NNP', 'CD', 'NNP', 'IN']",['VBN']
ইনশাআল্লাহ ,['ইনশাআল্লাহ'],['ইনশাআল্লাহ'],[],['Insha Allah'],['Insha Allah'],[],['NN'],['NN'],[]
হিরো আলম এগিয়ে যাওআমার মতে তুমিই ফারফেক্ট।,"['হিরো', 'আলম', 'এগিয়ে', 'যাওআমার', 'মতে', 'তুমিই', 'ফারফেক্ট']","['হিরো', 'আলম', 'এগিয়ে', 'যাওআমার', 'মতে', 'তুমিই', 'ফারফেক্ট']",[],"['Hero', 'Elasticity', 'Forward', 'Go', 'According to', 'You', 'Pharmaceutical']","['Hero', 'Elasticity', 'Forward', 'Go', 'According to', 'You', 'Pharmaceutical']",[],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'PRP', 'VBP']","['NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'PRP', 'VBP']",[]
তাশলিমা নাশরিন আরেক টা,"['তাশলিমা', 'নাশরিন', 'আরেক', 'টা']","['তাশলিমা', 'নাশরিন', 'আরেক', 'টা']",[],"['Taslima', 'Nasrin', 'Another', 'T']","['Taslima', 'Nasrin', 'Another', 'T']",[],"['NNP', 'NNP', 'DT', 'NNP']","['NNP', 'NNP', 'DT', 'NNP']",[]
